ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93609,2,2024,Elec- Agricultural,Y,461,"2,760,756","5,989"
93609,3,2024,Elec- Agricultural,N,218,"1,289,315","5,914"
93610,1,2024,Elec- Agricultural,Y,743,"6,751,750","9,087"
93610,2,2024,Elec- Agricultural,Y,669,"4,342,872","6,492"
93610,3,2024,Elec- Agricultural,N,460,"6,845,798","14,882"
93611,1,2024,Elec- Agricultural,Y,0,0,
93611,2,2024,Elec- Agricultural,Y,0,0,
93611,3,2024,Elec- Agricultural,Y,0,0,
93612,1,2024,Elec- Agricultural,Y,0,0,
93612,2,2024,Elec- Agricultural,Y,0,0,
93612,3,2024,Elec- Agricultural,Y,0,0,
93614,1,2024,Elec- Agricultural,Y,0,0,
93614,2,2024,Elec- Agricultural,Y,0,0,
93614,3,2024,Elec- Agricultural,Y,0,0,
93615,1,2024,Elec- Agricultural,Y,0,0,
93615,2,2024,Elec- Agricultural,Y,0,0,
93615,3,2024,Elec- Agricultural,Y,0,0,
93616,1,2024,Elec- Agricultural,Y,0,0,
93616,2,2024,Elec- Agricultural,Y,0,0,
93616,3,2024,Elec- Agricultural,Y,0,0,
93618,1,2024,Elec- Agricultural,Y,0,0,
93618,2,2024,Elec- Agricultural,Y,0,0,
93618,3,2024,Elec- Agricultural,Y,0,0,
93619,1,2024,Elec- Agricultural,Y,226,"131,773",583
93619,2,2024,Elec- Agricultural,Y,0,0,
93619,3,2024,Elec- Agricultural,Y,0,0,
93620,1,2024,Elec- Agricultural,Y,0,0,
93620,2,2024,Elec- Agricultural,Y,341,"2,365,534","6,937"
93620,3,2024,Elec- Agricultural,Y,340,"4,323,894","12,717"
93621,1,2024,Elec- Agricultural,Y,0,0,
93621,2,2024,Elec- Agricultural,Y,0,0,
93621,3,2024,Elec- Agricultural,Y,0,0,
93622,1,2024,Elec- Agricultural,Y,"2,167","23,027,523","10,626"
93622,2,2024,Elec- Agricultural,N,248,"1,306,361","5,268"
93622,3,2024,Elec- Agricultural,N,253,"2,287,353","9,041"
93624,3,2024,Elec- Agricultural,N,114,"1,518,782","13,323"
93625,1,2024,Elec- Agricultural,Y,0,0,
93625,2,2024,Elec- Agricultural,Y,0,0,
93625,3,2024,Elec- Agricultural,Y,0,0,
93626,1,2024,Elec- Agricultural,Y,0,0,
93626,2,2024,Elec- Agricultural,Y,0,0,
93626,3,2024,Elec- Agricultural,Y,0,0,
93627,1,2024,Elec- Agricultural,Y,0,0,
93627,2,2024,Elec- Agricultural,Y,0,0,
93627,3,2024,Elec- Agricultural,Y,0,0,
93628,1,2024,Elec- Agricultural,Y,0,0,
93628,2,2024,Elec- Agricultural,Y,0,0,
93628,3,2024,Elec- Agricultural,Y,0,0,
93630,1,2024,Elec- Agricultural,Y,577,"2,039,394","3,534"
93630,2,2024,Elec- Agricultural,Y,0,0,
93630,3,2024,Elec- Agricultural,N,494,"4,229,384","8,562"
93631,1,2024,Elec- Agricultural,Y,"1,489","6,256,317","4,202"
93631,2,2024,Elec- Agricultural,Y,0,0,
93631,3,2024,Elec- Agricultural,Y,"1,044","6,231,606","5,969"
93635,1,2024,Elec- Agricultural,Y,0,0,
93635,2,2024,Elec- Agricultural,Y,506,"2,496,898","4,935"
93635,3,2024,Elec- Agricultural,Y,504,"3,339,530","6,626"
93636,1,2024,Elec- Agricultural,Y,0,0,
93636,2,2024,Elec- Agricultural,Y,0,0,
93636,3,2024,Elec- Agricultural,Y,0,0,
93637,1,2024,Elec- Agricultural,Y,"1,200","3,629,793","3,025"
